page,product_id,product_name,old_url,new_url,status
39,13600385,Rear Right Seatbelt,https://d1ef4a9755q128.cloudfront.net/images/3VlYZwGzgq/1050x700/16034815_8667b4f3-3965-43fd-9a5e-b6a7cbba7a3e.jpeg,https://static.recar.lt/images/3VlYZwGzgq/16034815_8667b4f3-3965-43fd-9a5e-b6a7cbba7a3e.jpeg,UPDATED
39,13600385,Rear Right Seatbelt,https://d1ef4a9755q128.cloudfront.net/images/3VlYZwGzgq/1050x700/16034815_8df2150e-a9be-4782-b84d-bd33848d6d72.jpeg,https://static.recar.lt/images/3VlYZwGzgq/16034815_8df2150e-a9be-4782-b84d-bd33848d6d72.jpeg,UPDATED
39,13600386,Rear Left Seatbelt,https://d1ef4a9755q128.cloudfront.net/images/n9MjLqAlwd/1050x700/23584892_57f07ed2-26fd-447f-8417-d17be2bdea9f.jpg,https://static.recar.lt/images/n9MjLqAlwd/23584892_57f07ed2-26fd-447f-8417-d17be2bdea9f.jpg,UPDATED
39,13600386,Rear Left Seatbelt,https://d1ef4a9755q128.cloudfront.net/images/n9MjLqAlwd/1050x700/23584892_12f42bbb-32b4-4d7b-93f9-ad83a15dc666.jpg,https://static.recar.lt/images/n9MjLqAlwd/23584892_12f42bbb-32b4-4d7b-93f9-ad83a15dc666.jpg,UPDATED
39,13600387,Rear Right Seat Buckle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709802_76a4229b-c85d-4d41-bf64-355e26875249.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709802_76a4229b-c85d-4d41-bf64-355e26875249.jpg,UPDATED
39,13600387,Rear Right Seat Buckle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709802_2fdce4ae-c0b7-4847-b081-eb412d03bbf1.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709802_2fdce4ae-c0b7-4847-b081-eb412d03bbf1.jpg,UPDATED
39,13600388,Rear left door,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24710153_53b35da9-12ea-46e2-aee0-3833e679b008.jpg,https://static.recar.lt/images/JVlNnjdlRy/24710153_53b35da9-12ea-46e2-aee0-3833e679b008.jpg,UPDATED
39,13600388,Rear left door,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24710153_8df79036-d61b-47ef-81fa-75841539c169.jpg,https://static.recar.lt/images/JVlNnjdlRy/24710153_8df79036-d61b-47ef-81fa-75841539c169.jpg,UPDATED
39,13600389,Fuel pressure regulator,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24710231_3fbaeca2-a81b-4af7-ab9a-552b17c617f4.jpg,https://static.recar.lt/images/JVlNnjdlRy/24710231_3fbaeca2-a81b-4af7-ab9a-552b17c617f4.jpg,UPDATED
39,13600389,Fuel pressure regulator,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24710231_fe7517db-8ed4-44b2-a7ac-0632dd775cc6.jpg,https://static.recar.lt/images/JVlNnjdlRy/24710231_fe7517db-8ed4-44b2-a7ac-0632dd775cc6.jpg,UPDATED
